over_num,balls_left_in_over,overs_left,wickets_left,score,striker_sr,non_striker_sr,best_bowler
0,0,19,10,4,66.66666666666666,0.0,K Rabada
1,0,18,10,10,125.0,50.0,Arshdeep Singh
2,0,17,10,26,266.66666666666663,0.0,K Rabada
3,-1,16,8,28,100.0,0.0,Arshdeep Singh
4,-1,15,7,39,142.85714285714286,0.0,SM Curran
5,0,14,7,40,50.0,0.0,HV Patel
6,0,13,7,47,100.0,100.0,Harpreet Brar
7,0,12,7,56,125.0,200.0,SM Curran
8,0,11,7,61,75.0,100.0,Harpreet Brar
9,0,10,6,66,100.0,50.0,HV Patel
10,0,9,6,81,275.0,200.0,Harpreet Brar
11,0,8,6,90,200.0,50.0,K Rabada
12,0,7,6,100,233.33333333333334,100.0,SM Curran
13,-1,6,5,111,0.0,100.0,HV Patel
14,0,5,5,133,366.66666666666663,0.0,Harpreet Brar
15,0,4,5,146,240.0,100.0,HV Patel
16,0,3,3,152,133.33333333333331,0.0,Arshdeep Singh
17,-1,2,2,156,50.0,0.0,K Rabada
18,-1,1,2,171,150.0,220.00000000000003,Arshdeep Singh
19,0,0,1,182,100.0,100.0,SM Curran
0,0,19,10,1,0.0,0.0,B Kumar
1,0,18,9,2,50.0,0.0,PJ Cummins
2,0,17,8,11,250.0,100.0,B Kumar
3,0,16,8,14,66.66666666666666,33.33333333333333,PJ Cummins
4,0,15,7,20,150.0,0.0,B Kumar
5,0,14,7,27,116.66666666666667,0.0,T Natarajan
6,0,13,7,40,166.66666666666669,266.66666666666663,Nithish Kumar Reddy
7,0,12,7,49,200.0,50.0,JD Unadkat
8,0,11,7,58,160.0,100.0,Nithish Kumar Reddy
9,0,10,6,66,0.0,100.0,T Natarajan
10,0,9,6,74,175.0,50.0,JD Unadkat
11,0,8,6,84,100.0,200.0,Shahbaz Ahmed
12,0,7,6,91,50.0,250.0,PJ Cummins
13,0,6,5,97,0.0,100.0,JD Unadkat
14,0,5,5,105,100.0,150.0,T Natarajan
15,-1,4,4,116,200.0,100.0,Nithish Kumar Reddy
16,-2,3,4,133,200.0,100.0,B Kumar
17,0,2,4,144,100.0,225.0,PJ Cummins
18,0,1,4,154,166.66666666666669,166.66666666666669,T Natarajan
19,-3,0,4,180,212.5,600.0,JD Unadkat
0,0,19,10,5,100.0,0.0,UT Yadav
1,0,18,10,14,100.0,175.0,D Wiese
2,0,17,10,22,233.33333333333334,33.33333333333333,UT Yadav
3,0,16,10,31,150.0,0.0,CV Varun
4,0,15,10,45,233.33333333333334,0.0,D Wiese
5,0,14,10,59,225.0,250.0,K Khejroliya
6,0,13,10,72,100.0,240.0,SP Narine
7,0,12,9,79,66.66666666666666,0.0,Suyash Sharma
8,0,11,9,89,200.0,100.0,SP Narine
9,0,10,9,94,100.0,75.0,Suyash Sharma
10,0,9,9,101,100.0,125.0,CV Varun
11,0,8,9,109,140.0,100.0,Suyash Sharma
12,0,7,8,123,0.0,100.0,CV Varun
13,0,6,8,145,425.0,250.0,UT Yadav
14,0,5,8,160,280.0,100.0,D Wiese
15,0,4,8,169,160.0,100.0,Suyash Sharma
16,-2,3,8,186,100.0,216.66666666666666,AD Russell
17,0,2,7,199,266.66666666666663,400.0,K Khejroliya
18,0,1,7,218,150.0,400.0,CV Varun
19,-1,0,6,235,350.0,0.0,K Khejroliya
0,0,19,9,1,100.0,0.0,Akash Singh
1,0,18,8,9,0.0,100.0,TU Deshpande
2,-1,17,8,20,142.85714285714286,0.0,Akash Singh
3,0,16,8,24,66.66666666666666,0.0,TU Deshpande
4,0,15,8,33,100.0,400.0,Akash Singh
5,-1,14,8,38,66.66666666666666,50.0,M Theekshana
6,0,13,8,46,150.0,100.0,Akash Singh
7,0,12,7,66,0.0,100.0,MM Ali
8,0,11,6,71,200.0,0.0,RA Jadeja
9,-1,10,6,76,50.0,66.66666666666666,M Pathirana
10,0,9,6,95,300.0,350.0,RA Jadeja
11,0,8,6,109,300.0,100.0,M Theekshana
12,0,7,6,119,200.0,100.0,RA Jadeja
13,-1,6,6,127,100.0,100.0,M Pathirana
14,0,5,5,137,266.66666666666663,100.0,M Theekshana
15,-2,4,5,156,180.0,266.66666666666663,TU Deshpande
16,-1,3,4,164,150.0,0.0,M Pathirana
17,-2,2,3,177,350.0,0.0,TU Deshpande
18,0,1,2,180,150.0,0.0,M Theekshana
19,0,0,2,186,100.0,0.0,M Pathirana
0,0,19,9,5,100.0,0.0,JA Morkel
1,0,18,9,8,50.0,50.0,S Tyagi
2,0,17,9,13,166.66666666666669,0.0,JA Morkel
3,0,16,9,22,100.0,160.0,S Tyagi
4,0,15,9,25,66.66666666666666,33.33333333333333,L Balaji
5,0,14,9,34,66.66666666666666,200.0,JDP Oram
6,0,13,9,41,120.0,0.0,M Muralitharan
7,-1,12,9,47,100.0,33.33333333333333,SB Jakati
8,0,11,8,55,100.0,166.66666666666669,M Muralitharan
9,0,10,8,61,100.0,100.0,SK Raina
10,0,9,8,68,50.0,150.0,M Muralitharan
11,0,8,8,74,100.0,100.0,SK Raina
12,0,7,7,75,100.0,0.0,M Muralitharan
13,0,6,7,92,275.0,300.0,SB Jakati
14,0,5,6,99,0.0,100.0,L Balaji
15,0,4,5,101,100.0,0.0,SB Jakati
16,0,3,4,110,100.0,175.0,SK Raina
17,0,2,3,120,225.0,0.0,SB Jakati
18,0,1,3,126,75.0,50.0,L Balaji
19,-1,0,3,140,220.00000000000003,100.0,JA Morkel
0,0,19,10,9,100.0,175.0,YK Pathan
1,0,18,10,10,16.666666666666664,0.0,A Singh
2,-1,17,9,19,140.0,50.0,SK Trivedi
3,0,16,9,23,66.66666666666666,0.0,YK Pathan
4,-1,15,9,25,16.666666666666664,0.0,SM Harwood
5,0,14,8,37,200.0,0.0,A Singh
6,-1,13,8,40,0.0,0.0,SK Warne
7,0,12,8,49,200.0,125.0,YK Pathan
8,-1,11,8,61,183.33333333333331,0.0,SK Warne
9,-1,10,8,67,75.0,66.66666666666666,YK Pathan
10,0,9,8,70,50.0,50.0,SK Warne
11,0,8,8,77,100.0,125.0,SK Trivedi
12,0,7,8,80,20.0,100.0,RA Jadeja
13,0,6,8,87,100.0,125.0,SK Trivedi
14,0,5,8,97,160.0,100.0,RA Jadeja
15,0,4,8,117,333.33333333333337,0.0,SM Harwood
16,-1,3,7,126,100.0,166.66666666666669,SK Warne
17,0,2,7,138,200.0,0.0,A Singh
18,4,1,7,141,100.0,200.0,RA Jadeja
0,0,19,10,7,140.0,0.0,A Nortje
1,-1,18,9,12,0.0,400.0,Avesh Khan
2,0,17,9,21,200.0,50.0,R Ashwin
3,0,16,9,23,25.0,50.0,Avesh Khan
4,0,15,9,32,180.0,0.0,K Rabada
5,0,14,9,35,40.0,100.0,A Nortje
6,0,13,8,40,100.0,50.0,AR Patel
7,0,12,8,52,100.0,250.0,R Ashwin
8,0,11,8,57,75.0,100.0,AR Patel
9,0,10,8,66,200.0,50.0,K Rabada
10,0,9,7,73,50.0,150.0,AR Patel
11,-1,8,7,76,25.0,33.33333333333333,K Rabada
12,-1,7,6,80,66.66666666666666,33.33333333333333,AR Patel
13,-2,6,6,87,60.0,66.66666666666666,R Ashwin
14,0,5,5,87,0.0,0.0,A Nortje
15,0,4,5,88,25.0,0.0,Avesh Khan
16,-1,3,5,100,125.0,200.0,K Rabada
17,0,2,5,109,180.0,0.0,A Nortje
18,0,1,3,116,0.0,100.0,Avesh Khan
19,0,0,2,129,300.0,200.0,R Ashwin
0,0,19,10,6,125.0,50.0,TA Boult
1,0,18,9,14,140.0,100.0,J Yadav
2,0,17,8,21,50.0,0.0,KH Pandya
3,0,16,8,30,160.0,100.0,JJ Bumrah
4,0,15,7,35,0.0,100.0,NM Coulter-Nile
5,0,14,7,46,100.0,200.0,JJ Bumrah
6,0,13,7,51,150.0,50.0,J Yadav
7,0,12,7,55,100.0,25.0,NM Coulter-Nile
8,-1,11,6,60,100.0,25.0,J Yadav
9,0,10,6,65,75.0,100.0,KH Pandya
10,-2,9,6,74,66.66666666666666,100.0,KA Pollard
11,0,8,5,80,100.0,50.0,TA Boult
12,0,7,5,93,240.0,100.0,J Yadav
13,0,6,4,94,0.0,0.0,JJ Bumrah
14,0,5,4,100,100.0,50.0,NM Coulter-Nile
15,-1,4,4,105,40.0,100.0,TA Boult
16,0,3,4,111,33.33333333333333,166.66666666666669,NM Coulter-Nile
17,0,2,4,119,150.0,100.0,JJ Bumrah
18,0,1,4,126,100.0,150.0,TA Boult
19,5,0,4,132,600.0,0.0,KH Pandya
0,0,19,10,5,100.0,80.0,R Ashwin
1,-2,18,10,11,50.0,0.0,A Nehra
2,0,17,10,15,66.66666666666666,66.66666666666666,R Ashwin
3,-1,16,10,22,85.71428571428571,0.0,A Nehra
4,0,15,10,35,100.0,240.0,R Ashwin
5,0,14,10,48,166.66666666666669,266.66666666666663,A Nehra
6,0,13,10,53,100.0,66.66666666666666,P Negi
7,0,12,10,62,100.0,160.0,RA Jadeja
8,0,11,10,78,300.0,100.0,P Negi
9,0,10,10,86,140.0,100.0,MM Sharma
10,0,9,9,91,100.0,66.66666666666666,DJ Bravo
11,0,8,9,101,200.0,100.0,MM Sharma
12,0,7,9,110,200.0,100.0,P Negi
13,0,6,8,119,200.0,50.0,RA Jadeja
14,0,5,8,135,350.0,100.0,P Negi
15,0,4,7,139,33.33333333333333,100.0,DJ Bravo
16,0,3,6,141,0.0,33.33333333333333,A Nehra
17,0,2,6,156,200.0,350.0,DJ Bravo
18,-3,1,5,171,33.33333333333333,183.33333333333331,MM Sharma
19,-3,0,4,187,100.0,300.0,DJ Bravo
0,0,19,9,2,0.0,100.0,SL Malinga
1,-2,18,9,19,125.0,250.0,MJ McClenaghan
2,0,17,9,23,50.0,100.0,SL Malinga
3,0,16,9,33,75.0,350.0,R Vinay Kumar
4,0,15,9,46,100.0,240.0,MJ McClenaghan
5,0,14,8,54,0.0,100.0,R Vinay Kumar
6,-1,13,8,61,100.0,50.0,Harbhajan Singh
7,0,12,8,66,75.0,100.0,KA Pollard
8,0,11,8,79,266.66666666666663,166.66666666666669,Harbhajan Singh
9,0,10,8,86,125.0,50.0,KA Pollard
10,0,9,6,88,0.0,100.0,Harbhajan Singh
11,0,8,6,95,100.0,125.0,J Suchith
12,0,7,6,99,66.66666666666666,66.66666666666666,Harbhajan Singh
13,0,6,5,110,220.00000000000003,0.0,J Suchith
14,0,5,4,121,200.0,100.0,KA Pollard
15,-1,4,3,129,100.0,50.0,R Vinay Kumar
16,0,3,3,141,250.0,100.0,SL Malinga
17,-1,2,2,157,300.0,200.0,MJ McClenaghan
18,0,1,0,162,100.0,100.0,SL Malinga
0,-3,19,10,10,0.0,100.0,S Sreesanth
1,0,18,10,14,66.66666666666666,0.0,IK Pathan
2,0,17,10,24,166.66666666666669,166.66666666666669,S Sreesanth
3,0,16,10,33,150.0,0.0,IK Pathan
4,-1,15,10,46,171.42857142857142,0.0,S Sreesanth
5,0,14,10,68,425.0,250.0,VRV Singh
6,-1,13,9,75,100.0,50.0,RR Powar
7,0,12,9,88,300.0,50.0,PP Chawla
8,-1,11,8,104,175.0,233.33333333333334,RR Powar
9,-1,10,8,115,66.66666666666666,200.0,VRV Singh
10,0,9,6,118,0.0,50.0,JR Hopes
0,0,19,10,3,50.0,50.0,GD McGrath
1,-1,18,9,15,0.0,50.0,PJ Sangwan
2,0,17,8,30,100.0,325.0,GD McGrath
3,0,16,7,34,66.66666666666666,0.0,A Mishra
4,-1,15,7,56,260.0,400.0,V Sehwag
5,0,14,7,73,250.0,350.0,A Mishra
6,0,13,7,85,133.33333333333331,233.33333333333334,MF Maharoof
7,0,12,7,94,50.0,175.0,R Bhatia
0,0,19,10,5,83.33333333333334,0.0,RP Singh
1,0,18,10,8,33.33333333333333,33.33333333333333,S Sreesanth
2,0,17,9,18,166.66666666666669,0.0,RP Singh
3,0,16,8,21,0.0,0.0,S Sreesanth
4,0,15,8,22,25.0,0.0,RP Singh
5,0,14,7,32,200.0,0.0,S Sreesanth
6,-1,13,7,38,100.0,66.66666666666666,P Parameswaran
7,0,12,7,56,300.0,0.0,P Prasanth
8,0,11,6,64,200.0,50.0,P Parameswaran
9,0,10,5,69,100.0,100.0,BJ Hodge
10,0,9,5,76,140.0,0.0,Y Gnaneswara Rao
11,0,8,4,80,150.0,0.0,BJ Hodge
12,0,7,4,81,20.0,0.0,P Parameswaran
13,0,6,2,82,0.0,0.0,BJ Hodge
14,-1,5,2,87,66.66666666666666,50.0,RA Jadeja
15,0,4,1,90,100.0,100.0,BJ Hodge
16,0,3,1,91,100.0,0.0,RP Singh
17,0,2,1,92,50.0,0.0,S Sreesanth
18,3,1,0,97,250.0,0.0,P Parameswaran
0,-2,19,10,19,183.33333333333331,300.0,SW Tait
1,0,18,9,38,360.0,0.0,JDP Oram
2,-1,17,9,45,85.71428571428571,0.0,SW Tait
3,0,16,8,59,0.0,0.0,ND Doshi
4,0,15,8,73,260.0,100.0,JDP Oram
5,0,14,8,87,166.66666666666669,0.0,AA Chavan
6,-1,13,8,97,100.0,133.33333333333331,SW Tait
7,4,12,8,98,50.0,0.0,ND Doshi
0,0,19,10,11,100.0,200.0,IK Pathan
1,0,18,10,11,0.0,0.0,UT Yadav
2,0,17,9,19,0.0,200.0,VR Aaron
3,0,16,9,30,220.00000000000003,0.0,UT Yadav
4,-1,15,9,39,114.28571428571428,0.0,VR Aaron
5,-1,14,9,42,20.0,50.0,AD Russell
6,0,13,9,51,100.0,250.0,IK Pathan
7,0,12,9,64,100.0,275.0,AD Russell
8,0,11,9,66,25.0,50.0,P Negi
9,0,10,9,79,200.0,250.0,Y Venugopal Rao
10,0,9,9,83,66.66666666666666,66.66666666666666,IK Pathan
11,0,8,9,96,100.0,275.0,P Negi
12,0,7,9,108,100.0,220.00000000000003,AD Russell
13,0,6,9,128,380.0,100.0,IK Pathan
14,0,5,9,137,175.0,100.0,VR Aaron
15,0,4,9,159,150.0,475.0,P Negi
16,-1,3,9,176,350.0,66.66666666666666,UT Yadav
17,0,2,9,189,150.0,350.0,AD Russell
18,-1,1,9,203,200.0,100.0,UT Yadav
19,0,0,9,215,166.66666666666669,233.33333333333334,VR Aaron
0,-1,19,10,11,50.0,180.0,TM Dilshan
1,0,18,9,18,150.0,0.0,Z Khan
2,0,17,9,24,125.0,50.0,R Vinay Kumar
3,0,16,9,39,250.0,250.0,Z Khan
4,0,15,8,47,300.0,100.0,R Vinay Kumar
5,0,14,8,51,66.66666666666666,66.66666666666666,HV Patel
6,0,13,8,60,100.0,250.0,M Muralitharan
7,0,12,8,69,66.66666666666666,233.33333333333334,HV Patel
8,0,11,7,82,0.0,400.0,P Parameswaran
9,0,10,7,96,300.0,100.0,M Muralitharan
10,0,9,7,105,100.0,200.0,P Parameswaran
11,0,8,6,116,50.0,225.0,M Muralitharan
12,0,7,6,129,200.0,233.33333333333334,HV Patel
13,-1,6,6,142,160.0,100.0,M Muralitharan
14,0,5,6,149,66.66666666666666,166.66666666666669,HV Patel
15,0,4,5,158,50.0,0.0,Z Khan
16,0,3,4,165,150.0,0.0,R Vinay Kumar
17,0,2,3,172,100.0,133.33333333333331,Z Khan
18,-1,1,3,186,200.0,166.66666666666669,R Vinay Kumar
19,-1,0,1,194,200.0,50.0,P Parameswaran
0,-1,19,10,6,100.0,50.0,Rasikh Salam
1,0,18,9,11,133.33333333333331,0.0,MJ McClenaghan
2,-1,17,9,22,180.0,50.0,Rasikh Salam
3,0,16,8,33,100.0,200.0,MJ McClenaghan
4,0,15,8,36,50.0,50.0,JJ Bumrah
5,0,14,8,45,175.0,100.0,HH Pandya
6,0,13,8,49,100.0,33.33333333333333,Rasikh Salam
7,0,12,8,62,240.0,100.0,HH Pandya
8,0,11,8,70,200.0,66.66666666666666,KH Pandya
9,0,10,8,82,220.00000000000003,100.0,MJ McClenaghan
10,0,9,8,95,216.66666666666666,0.0,KH Pandya
11,0,8,8,102,50.0,250.0,JJ Bumrah
12,0,7,7,112,125.0,250.0,BCJ Cutting
13,0,6,7,114,20.0,100.0,HH Pandya
14,0,5,7,131,100.0,375.0,BCJ Cutting
15,-1,4,6,149,0.0,533.3333333333333,HH Pandya
16,0,3,5,161,100.0,300.0,MJ McClenaghan
17,0,2,4,176,200.0,275.0,JJ Bumrah
18,-1,1,4,197,316.66666666666663,100.0,Rasikh Salam
19,0,0,4,213,266.66666666666663,233.33333333333334,JJ Bumrah
0,0,19,10,5,80.0,100.0,TA Boult
1,0,18,10,11,100.0,100.0,I Sharma
2,0,17,10,28,320.0,100.0,TA Boult
3,0,16,9,33,0.0,200.0,I Sharma
4,0,15,9,37,25.0,100.0,K Rabada
5,0,14,7,46,0.0,200.0,I Sharma
6,0,13,7,49,50.0,50.0,K Rabada
7,0,12,7,61,366.66666666666663,33.33333333333333,R Tewatia
8,-1,11,7,69,100.0,100.0,KMA Paul
9,0,10,7,89,375.0,250.0,AR Patel
10,0,9,6,95,50.0,125.0,KMA Paul
11,0,8,5,101,0.0,150.0,AR Patel
12,-1,7,5,108,25.0,166.66666666666669,KMA Paul
13,0,6,5,123,250.0,0.0,I Sharma
14,-1,5,4,134,180.0,50.0,TA Boult
15,0,4,4,150,350.0,100.0,AR Patel
16,-1,3,3,159,50.0,50.0,K Rabada
17,0,2,3,168,125.0,200.0,TA Boult
18,-2,1,2,176,0.0,100.0,K Rabada
19,4,0,1,176,0.0,0.0,R Tewatia
0,-2,19,10,11,14.285714285714285,0.0,Mohammed Shami
1,-1,18,10,22,180.0,50.0,Yash Dayal
2,0,17,9,26,80.0,0.0,Mohammed Shami
3,0,16,9,30,66.66666666666666,66.66666666666666,Yash Dayal
4,0,15,8,44,233.33333333333334,0.0,Mohammed Shami
5,0,14,8,53,225.0,0.0,AS Joseph
6,0,13,8,59,100.0,100.0,Rashid Khan
7,0,12,8,66,150.0,50.0,LH Ferguson
8,0,11,8,76,66.66666666666666,266.66666666666663,Rashid Khan
9,-2,10,8,84,50.0,100.0,LH Ferguson
10,0,9,8,96,220.00000000000003,100.0,AS Joseph
11,0,8,8,112,350.0,100.0,Rashid Khan
12,0,7,8,115,50.0,50.0,Yash Dayal
13,0,6,8,127,175.0,250.0,LH Ferguson
14,0,5,8,140,200.0,250.0,Rashid Khan
15,0,4,7,145,0.0,150.0,AS Joseph
16,0,3,6,155,50.0,266.66666666666663,Mohammed Shami
17,0,2,5,161,100.0,100.0,Yash Dayal
18,-1,1,4,170,0.0,233.33333333333334,AS Joseph
19,0,0,4,195,233.33333333333334,600.0,LH Ferguson
0,0,19,10,2,25.0,50.0,B Kumar
1,-1,18,10,20,50.0,366.66666666666663,M Jansen
2,0,17,10,31,66.66666666666666,300.0,B Kumar
3,0,16,10,40,166.66666666666669,133.33333333333331,T Natarajan
4,0,15,10,47,50.0,250.0,M Jansen
5,0,14,10,59,100.0,300.0,T Natarajan
6,0,13,10,68,100.0,175.0,Washington Sundar
7,0,12,9,73,50.0,0.0,Umran Malik
8,0,11,9,81,150.0,100.0,Washington Sundar
9,0,10,8,91,200.0,100.0,Umran Malik
10,0,9,8,96,100.0,66.66666666666666,Washington Sundar
11,-1,8,8,109,200.0,100.0,M Jansen
12,-1,7,8,121,100.0,200.0,Washington Sundar
13,0,6,7,127,50.0,0.0,Umran Malik
14,0,5,7,135,200.0,66.66666666666666,B Kumar
15,-1,4,5,140,66.66666666666666,100.0,Umran Malik
16,-1,3,5,149,116.66666666666667,100.0,T Natarajan
17,0,2,5,161,220.00000000000003,100.0,B Kumar
18,0,1,5,174,240.0,100.0,T Natarajan
19,0,0,5,199,350.0,450.0,M Jansen
0,0,19,10,4,66.66666666666666,0.0,Sandeep Sharma
1,0,18,10,10,50.0,125.0,KJ Abbott
2,0,17,9,13,0.0,0.0,Sandeep Sharma
3,0,16,9,27,225.0,250.0,AR Patel
4,0,15,9,38,225.0,50.0,Sandeep Sharma
5,-1,14,9,49,150.0,0.0,P Sahu
6,0,13,9,53,50.0,100.0,MM Sharma
7,-1,12,8,65,116.66666666666667,0.0,KJ Abbott
8,0,11,8,73,100.0,150.0,MM Sharma
9,0,10,8,76,50.0,50.0,GJ Maxwell
10,-1,9,7,82,0.0,100.0,Sandeep Sharma
11,0,8,7,87,133.33333333333331,33.33333333333333,P Sahu
12,0,7,7,92,60.0,100.0,AR Patel
13,0,6,7,101,100.0,200.0,P Sahu
14,0,5,7,109,50.0,175.0,AR Patel
15,0,4,7,116,100.0,150.0,P Sahu
16,0,3,7,131,250.0,0.0,KJ Abbott
17,0,2,6,140,66.66666666666666,200.0,MM Sharma
18,0,1,6,149,160.0,100.0,KJ Abbott
19,0,0,3,152,0.0,0.0,MM Sharma
0,0,19,10,3,33.33333333333333,66.66666666666666,I Sharma
1,-2,18,10,16,128.57142857142858,200.0,Ankit Sharma
2,0,17,10,26,166.66666666666669,0.0,I Sharma
3,0,16,10,30,100.0,50.0,R Ashwin
4,0,15,10,43,50.0,300.0,I Sharma
5,0,14,10,50,120.0,100.0,R Ashwin
6,0,13,10,54,66.66666666666666,66.66666666666666,Ankit Sharma
7,0,12,10,58,50.0,100.0,M Ashwin
8,0,11,10,64,50.0,125.0,Ankit Sharma
9,0,10,10,71,100.0,120.0,IK Pathan
10,0,9,10,86,280.0,100.0,NLTC Perera
11,0,8,10,96,200.0,100.0,M Ashwin
12,0,7,9,100,100.0,0.0,Ankit Sharma
13,0,6,9,103,100.0,25.0,R Ashwin
14,0,5,7,112,0.0,233.33333333333334,M Ashwin
15,0,4,7,118,166.66666666666669,33.33333333333333,NLTC Perera
16,0,3,6,131,300.0,0.0,M Ashwin
17,0,2,6,144,100.0,275.0,R Ashwin
18,2,1,6,153,100.0,266.66666666666663,NLTC Perera
0,0,19,10,10,225.0,0.0,Basil Thampi
1,0,18,10,17,350.0,0.0,JD Unadkat
2,-2,17,10,30,33.33333333333333,250.0,JJ Bumrah
3,0,16,10,36,100.0,100.0,JD Unadkat
4,0,15,10,53,320.0,100.0,M Ashwin
5,-2,14,10,65,125.0,125.0,TS Mills
6,0,13,10,70,66.66666666666666,33.33333333333333,M Ashwin
7,0,12,10,80,166.66666666666669,166.66666666666669,Basil Thampi
8,0,11,10,90,200.0,100.0,TS Mills
9,0,10,9,99,266.66666666666663,0.0,M Ashwin
10,0,9,9,106,150.0,50.0,JJ Bumrah
11,0,8,9,112,66.66666666666666,100.0,M Ashwin
12,0,7,9,120,150.0,100.0,TS Mills
13,0,6,8,128,200.0,50.0,JD Unadkat
14,0,5,7,132,50.0,100.0,JJ Bumrah
15,0,4,7,139,120.0,100.0,TS Mills
16,0,3,6,151,220.00000000000003,100.0,Basil Thampi
17,-1,2,6,174,333.33333333333337,100.0,JD Unadkat
18,0,1,6,182,100.0,150.0,JJ Bumrah
19,-2,0,5,198,50.0,240.0,Basil Thampi
0,0,19,10,12,275.0,50.0,VG Arora
1,0,18,10,21,100.0,160.0,K Rabada
2,0,17,10,25,50.0,75.0,Arshdeep Singh
3,0,16,9,31,150.0,0.0,K Rabada
4,-1,15,8,33,0.0,0.0,VG Arora
5,0,14,8,42,100.0,160.0,Arshdeep Singh
6,-1,13,8,52,50.0,233.33333333333334,OF Smith
7,0,12,8,63,250.0,50.0,LS Livingstone
8,0,11,8,92,100.0,560.0,RD Chahar
9,0,10,8,105,240.0,100.0,VG Arora
10,0,9,7,116,233.33333333333334,133.33333333333331,OF Smith
11,0,8,7,120,100.0,50.0,RD Chahar
12,-1,7,6,131,142.85714285714286,0.0,Arshdeep Singh
13,0,6,6,138,150.0,50.0,RD Chahar
14,0,5,6,146,33.33333333333333,233.33333333333334,K Rabada
15,0,4,6,150,66.66666666666666,66.66666666666666,RD Chahar
16,-1,3,5,166,50.0,325.0,VG Arora
17,0,2,5,171,66.66666666666666,100.0,Arshdeep Singh
18,0,1,4,177,150.0,0.0,K Rabada
19,-1,0,1,186,266.66666666666663,0.0,OF Smith
0,-1,19,10,7,85.71428571428571,0.0,SM Pollock
1,0,18,10,16,50.0,200.0,A Nehra
2,0,17,10,34,233.33333333333334,0.0,SM Pollock
3,0,16,9,35,0.0,0.0,A Nehra
4,0,15,8,40,100.0,0.0,DS Kulkarni
5,-2,14,8,53,66.66666666666666,180.0,A Nehra
6,-1,13,8,59,60.0,100.0,DS Kulkarni
7,0,12,8,64,75.0,100.0,Harbhajan Singh
8,0,11,8,72,50.0,250.0,DJ Bravo
9,0,10,8,82,33.33333333333333,266.66666666666663,Harbhajan Singh
10,0,9,8,96,266.66666666666663,200.0,DJ Bravo
11,-1,8,8,112,66.66666666666666,225.0,VS Yeligati
12,0,7,8,123,200.0,166.66666666666669,SM Pollock
13,0,6,8,137,233.33333333333334,233.33333333333334,AM Nayar
14,0,5,7,143,100.0,100.0,MA Khote
15,-1,4,7,158,180.0,250.0,DJ Bravo
16,0,3,7,168,200.0,133.33333333333331,MA Khote
17,0,2,7,182,166.66666666666669,300.0,DS Kulkarni
18,-1,1,6,194,125.0,200.0,A Nehra
19,0,0,5,208,200.0,250.0,MA Khote
0,-2,19,9,9,50.0,125.0,JDP Oram
1,0,18,9,13,0.0,0.0,MS Gony
2,0,17,9,25,220.00000000000003,100.0,JDP Oram
3,0,16,8,31,33.33333333333333,133.33333333333331,MS Gony
4,0,15,8,50,316.66666666666663,0.0,JDP Oram
5,0,14,8,52,25.0,50.0,MS Gony
6,0,13,8,57,100.0,75.0,Joginder Sharma
7,-1,12,8,68,100.0,175.0,MS Gony
8,0,11,8,75,120.0,100.0,P Amarnath
9,0,10,7,83,166.66666666666669,100.0,Joginder Sharma
10,-3,9,7,90,33.33333333333333,66.66666666666666,M Muralitharan
11,0,8,6,99,66.66666666666666,300.0,P Amarnath
12,-1,7,6,110,160.0,100.0,M Muralitharan
13,0,6,6,130,300.0,366.66666666666663,P Amarnath
14,0,5,5,134,0.0,100.0,Joginder Sharma
15,0,4,4,147,200.0,300.0,M Muralitharan
16,0,3,4,168,233.33333333333334,466.6666666666667,P Amarnath
17,0,2,4,181,216.66666666666666,0.0,JDP Oram
18,0,1,3,190,175.0,100.0,M Muralitharan
19,-1,0,3,202,200.0,50.0,Joginder Sharma
0,0,19,10,5,83.33333333333334,0.0,DS Kulkarni
1,0,18,10,8,60.0,0.0,TG Southee
2,0,17,10,18,200.0,100.0,JP Faulkner
3,0,16,10,20,25.0,50.0,DS Kulkarni
4,0,15,10,32,220.00000000000003,100.0,TG Southee
5,-1,14,9,51,66.66666666666666,400.0,JP Faulkner
6,0,13,9,53,33.33333333333333,0.0,PV Tambe
7,0,12,8,63,300.0,100.0,STR Binny
8,0,11,7,66,66.66666666666666,0.0,R Bhatia
9,0,10,7,71,100.0,75.0,PV Tambe
10,0,9,6,74,66.66666666666666,0.0,R Bhatia
11,0,8,5,81,0.0,166.66666666666669,PV Tambe
12,0,7,5,85,50.0,100.0,R Bhatia
13,-1,6,5,98,100.0,150.0,PV Tambe
14,0,5,4,101,66.66666666666666,50.0,R Bhatia
15,0,4,4,106,100.0,66.66666666666666,SR Watson
16,-4,3,4,117,116.66666666666667,0.0,DS Kulkarni
17,0,2,4,120,100.0,25.0,TG Southee
18,0,1,4,131,133.33333333333331,166.66666666666669,JP Faulkner
19,-1,0,4,140,116.66666666666667,100.0,TG Southee
0,-1,19,10,10,100.0,200.0,BW Hilfenhaus
1,0,18,9,10,0.0,0.0,IC Pandey
2,0,17,9,13,60.0,0.0,BW Hilfenhaus
3,0,16,9,23,350.0,75.0,IC Pandey
4,0,15,9,37,260.0,100.0,BW Hilfenhaus
5,0,14,8,38,0.0,0.0,R Ashwin
6,0,13,6,44,150.0,0.0,RA Jadeja
7,0,12,6,47,40.0,100.0,SK Raina
8,0,11,6,53,100.0,100.0,MM Sharma
9,0,10,6,56,50.0,50.0,SK Raina
10,0,9,5,63,100.0,133.33333333333331,MM Sharma
