over_num,balls_left_in_over,overs_left,wickets_left,score,striker_sr,non_striker_sr,best_bowler
2,0,17,10,41,233.33333333333334,0.0,JA Morkel
3,0,16,10,47,100.0,100.0,M Muralitharan
4,-2,15,8,55,100.0,100.0,R Ashwin
5,-1,14,8,57,100.0,0.0,M Muralitharan
6,0,13,8,63,125.0,50.0,L Balaji
7,-1,12,8,66,16.666666666666664,100.0,JM Kemp
8,0,11,8,69,50.0,0.0,R Ashwin
9,0,10,8,80,183.33333333333331,0.0,JM Kemp
10,0,9,8,88,140.0,100.0,M Muralitharan
11,0,8,8,99,183.33333333333331,0.0,L Balaji
12,0,7,8,106,100.0,66.66666666666666,R Ashwin
13,0,6,8,115,160.0,100.0,JA Morkel
14,-3,5,8,127,50.0,140.0,M Muralitharan
15,-1,4,8,139,180.0,50.0,L Balaji
16,0,3,8,149,166.66666666666669,166.66666666666669,R Ashwin
17,0,2,7,160,100.0,225.0,JA Morkel
18,0,1,6,168,140.0,0.0,L Balaji
19,-2,0,6,190,225.0,275.0,JM Kemp
0,0,19,10,4,60.0,100.0,WPUJC Vaas
1,0,18,10,12,133.33333333333331,0.0,RG Sharma
2,0,17,8,22,0.0,0.0,WPUJC Vaas
3,0,16,8,31,266.66666666666663,33.33333333333333,RP Singh
4,0,15,7,31,0.0,0.0,WPUJC Vaas
5,0,14,6,34,66.66666666666666,0.0,PP Ojha
6,-1,13,6,50,233.33333333333334,200.0,Jaskaran Singh
7,0,12,6,54,60.0,100.0,PP Ojha
8,0,11,6,59,80.0,100.0,RG Sharma
9,0,10,5,70,100.0,225.0,PP Ojha
10,0,9,5,78,150.0,100.0,TL Suman
11,0,8,5,82,50.0,100.0,RG Sharma
12,0,7,5,89,100.0,133.33333333333331,WPUJC Vaas
13,0,6,5,99,200.0,100.0,PP Ojha
14,0,5,4,108,100.0,175.0,A Symonds
15,0,4,3,118,300.0,0.0,RG Sharma
16,0,3,3,129,225.0,100.0,A Symonds
17,-1,2,2,137,125.0,50.0,RP Singh
18,0,1,1,146,0.0,233.33333333333334,A Symonds
19,-1,0,1,159,50.0,220.00000000000003,RP Singh
0,0,19,10,9,200.0,100.0,P Kumar
1,0,18,9,13,50.0,75.0,RJ Harris
2,0,17,9,18,33.33333333333333,133.33333333333331,P Kumar
3,0,16,9,28,180.0,100.0,RJ Harris
4,0,15,9,38,180.0,100.0,P Kumar
5,0,14,9,48,200.0,125.0,R McLaren
6,0,13,9,52,66.66666666666666,66.66666666666666,VS Malik
7,0,12,9,61,200.0,100.0,R McLaren
8,0,11,9,71,175.0,100.0,VS Malik
9,0,10,9,81,200.0,100.0,AM Nayar
10,0,9,8,88,200.0,33.33333333333333,PP Chawla
11,0,8,7,91,100.0,33.33333333333333,PC Valthaty
12,0,7,7,96,133.33333333333331,33.33333333333333,P Kumar
13,0,6,7,106,100.0,200.0,PP Chawla
14,0,5,6,113,125.0,100.0,PC Valthaty
15,0,4,6,122,150.0,100.0,RJ Harris
16,0,3,6,129,100.0,125.0,PC Valthaty
17,-1,2,4,144,0.0,325.0,R McLaren
18,-1,1,2,156,50.0,250.0,PC Valthaty
19,0,0,2,165,200.0,50.0,RJ Harris
0,0,19,10,9,166.66666666666669,133.33333333333331,DW Steyn
1,0,18,10,16,100.0,0.0,I Sharma
2,-1,17,10,26,100.0,150.0,DW Steyn
3,-2,16,10,36,50.0,116.66666666666667,I Sharma
4,-1,15,10,59,314.2857142857143,0.0,MS Gony
5,0,14,10,62,66.66666666666666,0.0,I Sharma
6,0,13,10,75,275.0,50.0,MS Gony
7,0,12,10,80,50.0,100.0,A Mishra
8,0,11,10,96,300.0,100.0,DT Christian
9,0,10,10,104,100.0,140.0,A Mishra
10,-2,9,10,111,28.57142857142857,100.0,JP Duminy
11,-1,8,10,116,100.0,25.0,DW Steyn
12,0,7,10,132,350.0,100.0,JP Duminy
13,0,6,9,136,75.0,50.0,A Mishra
14,0,5,9,139,50.0,50.0,DT Christian
15,0,4,8,151,220.00000000000003,0.0,A Mishra
16,0,3,8,156,50.0,150.0,I Sharma
17,2,2,8,166,100.0,266.66666666666663,DT Christian
0,0,19,10,5,100.0,75.0,S Nadeem
1,0,18,10,11,100.0,100.0,IK Pathan
2,-1,17,10,15,50.0,40.0,M Morkel
